t,S,I,R
7.375391633605002,344.0,102.0,54.0
7.375981304719868,344.0,101.0,55.0
7.38413235754634,344.0,100.0,56.0
7.385549461784179,343.0,101.0,56.0
7.38584699399015,342.0,102.0,56.0
7.389858516318946,341.0,103.0,56.0
7.396591926154856,340.0,104.0,56.0
7.398100694346069,339.0,105.0,56.0
7.4151123355643564,338.0,106.0,56.0
7.423603899972556,337.0,107.0,56.0
7.432916729483968,336.0,108.0,56.0
7.442371618598332,335.0,109.0,56.0
7.445940064702698,334.0,110.0,56.0
7.462113682122672,333.0,111.0,56.0
7.465143248802057,332.0,112.0,56.0
7.471387616381089,332.0,111.0,57.0
7.482409399137824,331.0,112.0,57.0
7.487094452430757,330.0,113.0,57.0
7.489484741069279,329.0,114.0,57.0
7.502013351416401,328.0,115.0,57.0
7.502329488995487,327.0,116.0,57.0
7.515066919150013,327.0,115.0,58.0
7.519165624132674,327.0,114.0,59.0
7.522856462107973,326.0,115.0,59.0
7.5477876571864915,326.0,114.0,60.0
7.558308806045695,326.0,113.0,61.0
7.560648380631635,326.0,112.0,62.0
7.564727343435564,326.0,111.0,63.0
7.583890761816994,325.0,112.0,63.0
7.587401274270777,325.0,111.0,64.0
7.592866900721449,325.0,110.0,65.0
7.5956405474563,324.0,111.0,65.0
7.599532127231333,324.0,110.0,66.0
7.617051711634731,324.0,109.0,67.0
7.627482228569834,323.0,110.0,67.0
7.6329671840356506,322.0,111.0,67.0
7.63418590506963,322.0,110.0,68.0
7.63727194001125,321.0,111.0,68.0
7.637468186521865,320.0,112.0,68.0
7.644578265850899,320.0,111.0,69.0
7.661088365209416,320.0,110.0,70.0
7.676654656316482,319.0,111.0,70.0
7.678748623121744,318.0,112.0,70.0
7.682732113709948,317.0,113.0,70.0
7.692117699035414,316.0,114.0,70.0
7.694065349989573,315.0,115.0,70.0
7.699460191053573,314.0,116.0,70.0
7.713440404678713,313.0,117.0,70.0
7.714383770256291,312.0,118.0,70.0
7.721900093895024,311.0,119.0,70.0
7.731152047991113,310.0,120.0,70.0
7.737645223574451,310.0,119.0,71.0
7.738565590781007,309.0,120.0,71.0
7.740746257668797,308.0,121.0,71.0
7.7461997491740675,307.0,122.0,71.0
7.749096312766728,306.0,123.0,71.0
7.753931285086481,305.0,124.0,71.0
7.754566674834734,305.0,123.0,72.0
7.765833145872444,305.0,122.0,73.0
7.775096966744256,304.0,123.0,73.0
7.782206552716112,304.0,122.0,74.0
7.79207576000743,303.0,123.0,74.0
7.8000447127537935,303.0,122.0,75.0
7.800869829980709,302.0,123.0,75.0
7.80529800746822,302.0,122.0,76.0
7.806699229113391,302.0,121.0,77.0
7.811257859457869,302.0,120.0,78.0
7.818516807871298,301.0,121.0,78.0
7.82570351630641,300.0,122.0,78.0
7.828766805694593,299.0,123.0,78.0
7.836678660609902,299.0,122.0,79.0
7.837523700977463,298.0,123.0,79.0
7.838318471273034,297.0,124.0,79.0
7.8615862955989115,296.0,125.0,79.0
7.881674726674387,296.0,124.0,80.0
7.886152301836626,296.0,123.0,81.0
7.886909141132554,295.0,124.0,81.0
7.896038508679291,294.0,125.0,81.0
7.901165300922457,293.0,126.0,81.0
7.906835390137847,292.0,127.0,81.0
7.908783133797159,291.0,128.0,81.0
7.916170838965079,290.0,129.0,81.0
7.917805156229952,290.0,128.0,82.0
7.92046163170041,289.0,129.0,82.0
7.921733111542584,288.0,130.0,82.0
7.924291321086141,288.0,129.0,83.0
7.928649486949865,287.0,130.0,83.0
7.9329238322185995,286.0,131.0,83.0
7.939478589281287,285.0,132.0,83.0
7.943800493086603,285.0,131.0,84.0
7.945188444359379,285.0,130.0,85.0
7.959165575147954,284.0,131.0,85.0
7.970721397060869,283.0,132.0,85.0
7.971224287457905,282.0,133.0,85.0
7.98248091133479,281.0,134.0,85.0
7.984664353026286,280.0,135.0,85.0
8.003191236723097,280.0,134.0,86.0
8.010122334646256,279.0,135.0,86.0
8.01047871228307,279.0,134.0,87.0
8.017893892448742,278.0,135.0,87.0
8.022054818992713,278.0,134.0,88.0
8.022335995450423,278.0,133.0,89.0
8.024030534761042,278.0,132.0,90.0
8.029415534782247,278.0,131.0,91.0
8.033452262554794,277.0,132.0,91.0
8.052008579842358,276.0,133.0,91.0
8.069149408263295,275.0,134.0,91.0
8.073794750897529,275.0,133.0,92.0
8.084176725238734,274.0,134.0,92.0
8.088179329749408,274.0,133.0,93.0
8.090097186554372,274.0,132.0,94.0
8.112595733906195,273.0,133.0,94.0
8.117553979316623,273.0,132.0,95.0
8.137660344363862,272.0,133.0,95.0
8.143362011801056,271.0,134.0,95.0
8.144135128827047,271.0,133.0,96.0
8.148488025771682,270.0,134.0,96.0
8.149885857221916,269.0,135.0,96.0
8.164028673351856,268.0,136.0,96.0
8.17742455429247,267.0,137.0,96.0
8.183102878222037,267.0,136.0,97.0
8.232080149422742,267.0,135.0,98.0
8.232246828526115,266.0,136.0,98.0
8.238262483622762,266.0,135.0,99.0
8.243896137781322,266.0,134.0,100.0
8.25187144149419,265.0,135.0,100.0
8.260557148025242,265.0,134.0,101.0
8.261527067905844,264.0,135.0,101.0
8.268630681865176,263.0,136.0,101.0
8.274337793531739,263.0,135.0,102.0
8.276915700629521,262.0,136.0,102.0
8.284671224341192,261.0,137.0,102.0
8.28860074650819,260.0,138.0,102.0
8.294691880930154,259.0,139.0,102.0
8.30084044224186,259.0,138.0,103.0
8.326201470586554,259.0,137.0,104.0
8.327596917738447,258.0,138.0,104.0
8.334848048679524,258.0,137.0,105.0
8.335082093422272,257.0,138.0,105.0
8.33748980925688,257.0,137.0,106.0
8.345376133605717,256.0,138.0,106.0
8.347354753986219,255.0,139.0,106.0
8.357439791836352,255.0,138.0,107.0
8.36359159740358,254.0,139.0,107.0
8.368402356678077,253.0,140.0,107.0
8.381659705412206,253.0,139.0,108.0
8.389117040292424,252.0,140.0,108.0
8.393582070505865,252.0,139.0,109.0
8.398387100766527,252.0,138.0,110.0
8.3990267945427,251.0,139.0,110.0
8.402452167424892,251.0,138.0,111.0
8.428687582674922,251.0,137.0,112.0
8.428762015816263,251.0,136.0,113.0
8.432358579773837,251.0,135.0,114.0
8.450364938342044,250.0,136.0,114.0
8.475328942441452,250.0,135.0,115.0
8.500261851253542,249.0,136.0,115.0
8.50878836748556,248.0,137.0,115.0
8.520530497366323,247.0,138.0,115.0
8.520792512813522,247.0,137.0,116.0
8.520933449945902,247.0,136.0,117.0
8.533586310455336,246.0,137.0,117.0
8.536132033888384,246.0,136.0,118.0
8.547409571291832,245.0,137.0,118.0
8.552157384859461,245.0,136.0,119.0
8.571265653099333,245.0,135.0,120.0
8.572048156036365,244.0,136.0,120.0
8.574777451979548,243.0,137.0,120.0
8.578842634577128,243.0,136.0,121.0
8.583697347357184,242.0,137.0,121.0
8.588934306469518,241.0,138.0,121.0
8.595929382636553,240.0,139.0,121.0
8.598135760935488,239.0,140.0,121.0
8.603597343164557,238.0,141.0,121.0
8.612504725471561,237.0,142.0,121.0
8.626336146119316,237.0,141.0,122.0
8.632487600857505,237.0,140.0,123.0
8.65202042380783,236.0,141.0,123.0
8.656627338109644,235.0,142.0,123.0
8.663780441842912,235.0,141.0,124.0
8.665814850529935,234.0,142.0,124.0
8.673963172260892,234.0,141.0,125.0
8.687394715245905,233.0,142.0,125.0
8.68817228530464,232.0,143.0,125.0
8.700510342391105,231.0,144.0,125.0
8.706968103037779,230.0,145.0,125.0
8.720393857128453,229.0,146.0,125.0
8.732841290275507,228.0,147.0,125.0
8.77624293300056,227.0,148.0,125.0
8.810576356499674,226.0,149.0,125.0
8.820980218567572,225.0,150.0,125.0
8.823800059490628,224.0,151.0,125.0
8.832569294768094,223.0,152.0,125.0
8.844876316907303,222.0,153.0,125.0
8.845703104651781,221.0,154.0,125.0
8.860827066813485,221.0,153.0,126.0
8.86336659448104,221.0,152.0,127.0
8.863963740519079,221.0,151.0,128.0
8.892768057816266,220.0,152.0,128.0
8.913761933243192,219.0,153.0,128.0
8.917130776339576,219.0,152.0,129.0
8.925881787937964,218.0,153.0,129.0
