t,S,I,R
1.5552739401873836,630,258,112
1.5558909657984157,630,257,113
1.556207154754269,629,258,113
1.5571193753091745,628,259,113
1.557262376103938,627,260,113
1.557864239891191,627,259,114
1.559539210334133,626,260,114
1.561521094166993,626,259,115
1.5669628067546402,625,260,115
1.5669745883718702,624,261,115
1.5677261555101776,623,262,115
1.5678180242357906,622,263,115
1.5679507074331693,621,264,115
1.570270487980438,621,263,116
1.5713781899966452,621,262,117
1.5715475281386373,620,263,117
1.5720830687736842,619,264,117
1.5722095081749958,619,263,118
1.5734311229211686,618,264,118
1.5735909648331146,618,263,119
1.578448101972176,617,264,119
1.5806691928984105,616,265,119
1.5850178116587514,615,266,119
1.587573199113958,615,265,120
1.5892323453956385,614,266,120
1.590362754809364,613,267,120
1.5912135689516376,612,268,120
1.5920313592252353,611,269,120
1.6000838250556142,610,270,120
1.600859662065396,609,271,120
1.6010752298636786,608,272,120
1.6025565518556504,607,273,120
1.6063117675973508,606,274,120
1.6084952301868154,606,273,121
1.6091116182609637,606,272,122
1.6099617032082252,606,271,123
1.6120896957057975,606,270,124
1.6175089779369958,605,271,124
1.6176094949843944,605,270,125
1.6285014183955426,604,271,125
1.6294179665919188,604,270,126
1.6312940551343076,603,271,126
1.6318972673398187,602,272,126
1.6322329714242085,601,273,126
1.6352027553553492,600,274,126
1.636680159411716,599,275,126
1.6384122027852215,598,276,126
1.644180420694446,598,275,127
1.6468167279850072,597,276,127
1.648447029316298,597,275,128
1.6517920443652072,596,276,128
1.6542308236651948,595,277,128
1.656162907375259,594,278,128
1.6646668411486474,594,277,129
1.665986863716669,594,276,130
1.668105642190535,593,277,130
1.6702572220342893,592,278,130
1.6738490695353152,591,279,130
1.6743391805560621,590,280,130
1.6775127337935605,589,281,130
1.680261621250722,589,280,131
1.6803659235274728,588,281,131
1.6901123675183558,587,282,131
1.693818437254113,586,283,131
1.6959860795427173,585,284,131
1.6999674206573923,584,285,131
1.7019913977071863,584,284,132
1.7034110660947428,583,285,132
